año	sector	size	0101 Cuenca	0102 Girón	0103 Gualaceo	0104 Nabón	0105 Paute	0106 Pucara	0107 San Fernando	0108 Santa Isabel	0109 Sigsig	0110 Oña	0111 Chordeleg	0112 El Pan	0113 Sevilla de Oro	0114 Guachapala	0115 Camilo Ponce Enríquez	0201 Guaranda	0202 Chillanes	0203 Chimbo	0204 Echeandía	0205 San Miguel	0206 Caluma	0207 Las Naves	0301 Azogues	0302 Biblián	0303 Cañar	0304 La Troncal	0305 El Tambo	0306 Déleg	0307 Suscal	0401 Tulcán	0402 Bolívar	0403 Espejo	0404 Mira	0405 Montúfar	0406 San Pedro de Huaca	0501 Latacunga	0502 La Maná	0503 Pangua	0504 Pujilí	0505 Salcedo	0506 Saquisilí	0507 Sigchos	0601 Riobamba	0602 Alausí	0603 Colta	0604 Chambo	0605 Chunchi	0606 Guamote	0607 Guano	0608 Pallatanga	0609 Penipe	0610 Cumandá	0701 Machala	0702 Arenillas	0703 Atahualpa	0704 Balsas	0705 Chilla	0706 El Guabo	0707 Huaquillas	0708 Marcabelí	0709 Pasaje	0710 Piñas	0711 Portovelo	0712 Santa Rosa	0713 Zaruma	0714 Las Lajas	0801 Esmeraldas	0802 Eloy Alfaro	0803 Muisne	0804 Quinindé	0805 San Lorenzo	0806 Atacames	0807 Rioverde	0901 Guayaquil	0902 Alfredo Baquerizo Moreno (Juján)	0903 Balao	0904 Balzar	0905 Colimes	0906 Daule	0907 Durán	0908 El Empalme	0909 El Triunfo	0910 Milagro	0911 Naranjal	0912 Naranjito	0913 Palestina	0914 Pedro Carbo	0916 Samborondón	0918 Santa Lucía	0919 Salitre (Urbina Jado)	0920 San Jacinto de Yaguachi	0921 Playas	0922 Simón Bolívar	0923 Coronel Marcelino Maridueña	0924 Lomas de Sargentillo	0925 Nobol	0927 General Antonio Elizalde	0928 Isidro Ayora	1001 Ibarra	1002 Antonio Ante	1003 Cotacachi	1004 Otavalo	1005 Pimampiro	1006 San Miguel de Urcuqui	1101 Loja	1102 Calvas	1103 Catamayo	1104 Celica	1105 Chaguarpamba	1106 Espíndola	1107 Gonzanamá	1108 Macará	1109 Paltas	1110 Puyango	1111 Saraguro	1112 Sozoranga	1113 Zapotillo	1114 Pindal	1115 Quilanga	1116 Olmedo	1201 Babahoyo	1202 Baba	1203 Montalvo	1204 Puebloviejo	1205 Quevedo	1206 Urdaneta	1207 Ventanas	1208 Vinces	1209 Palenque	1210 Buena Fé	1211 Valencia	1212 Mocache	1213 Quinsaloma	1301 Portoviejo	1302 Bolivar	1303 Chone	1304 El Carmen	1305 Flavio Alfaro	1306 Jipijapa	1307 Junín	1308 Manta	1309 Montecristi	1310 Paján	1311 Pichincha	1312 Rocafuerte	1313 Santa Ana	1314 Sucre	1315 Tosagua	1316 24 de Mayo	1317 Pedernales	1318 Olmedo	1319 Puerto López	1320 Jama	1321 Jaramijó	1322 San Vicente	1401 Morona	1402 Gualaquiza	1403 Limón Indanza	1404 Palora	1405 Santiago	1406 Sucúa	1407 Huamboya	1408 San Juan Bosco	1409 Taisha	1410 Logroño	1411 Pablo Sexto	1412 Tiwintza	1501 Tena	1503 Archidona	1504 El chaco	1507 Quijos	1509 Carlos Julio Arosemena Tola	1601 Pastaza	1602 Mera	1603 Santa Clara	1604 Arajuno	1701 Quito	1702 Cayambe	1703 Mejía	1704 Pedro Moncayo	1705 Rumiñahui	1707 San Miguel de los Bancos	1708 Pedro Vicente Maldonado	1709 Puerto Quito	1801 Ambato	1802 Baños de Agua Santa	1803 Cevallos	1804 Mocha	1805 Patate	1806 Quero	1807 San Pedro de Pelileo	1808 Santiago de Píllaro	1809 Tisaleo	1901 Zamora	1902 Chinchipe	1903 Nangaritza	1904 Yacuambí	1905 Yantzaza (Yanzatza)	1906 El pangui	1907 Centinela del Cóndor	1908 Palanda	1909 Paquisha	2001 San Cristóbal	2002 Isabela	2003 Santa Cruz	2101 Lago Agrio	2102 Gonzalo Pizarro	2103 Putumayo	2104 Shushufindi	2105 Sucumbíos	2106 Cascales	2107 Cuyabeno	2201 Orellana	2202 Aguarico	2203 La Joya de los Sachas	2204 Loreto	2301 Santo Domingo	2302 La Concordia	2401 Santa Elena	2402 La Libertad	2403 Salinas	9001 Las Golondrinas	9003 Manga del Cura	9004 El Piedrero
2019	Agricultura, ganadería, silvicultura y pesca	Grande empresa	26.425	nan	nan	nan	9.882	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.300	nan	nan	nan	nan	nan	nan	nan	nan	nan	72.943	nan	nan	nan	42.813	nan	nan	nan	7.510	nan	nan	nan	nan	nan	nan	nan	5.082	441.563	8.251	nan	5.021	nan	63.482	nan	nan	9.940	16.862	nan	33.627	nan	nan	nan	nan	nan	26.839	7.984	nan	nan	2.361.381	nan	6.078	nan	nan	9.284	452.160	nan	23.291	38.786	13.761	nan	nan	nan	298.819	nan	nan	5.647	5.358	nan	30.092	nan	16.404	5.083	147.795	6.537	nan	35.378	nan	nan	nan	nan	nan	10.440	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	65.489	8.439	nan	26.420	131.868	nan	6.555	nan	nan	20.669	29.597	6.955	nan	35.982	nan	nan	nan	nan	nan	56.307	198.652	20.932	nan	nan	nan	18.708	nan	nan	nan	nan	nan	nan	nan	30.205	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.083	nan	nan	nan	nan	nan	nan	458.744	154.290	50.951	86.346	10.930	6.302	nan	nan	48.056	nan	nan	nan	nan	nan	11.703	13.988	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	45.657	7.142	39.589	nan	13.755	nan	nan	nan
2019	Agricultura, ganadería, silvicultura y pesca	"Mediana empresa ""A"""	14.039	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.085	nan	1.271	1.429	nan	4.996	nan	nan	nan	1.273	nan	nan	1.082	nan	nan	33.214	1.213	1.069	1.878	1.821	nan	nan	3.895	1.057	nan	nan	nan	nan	nan	nan	nan	nan	175.064	5.489	1.217	10.672	nan	47.226	6.425	4.056	12.780	4.139	nan	21.926	nan	nan	5.240	nan	1.362	10.988	3.321	nan	nan	206.088	nan	5.351	2.988	nan	3.850	10.400	6.348	21.531	10.982	18.460	1.376	1.303	2.791	27.697	3.744	nan	4.903	4.808	nan	2.578	nan	nan	1.308	1.671	2.915	1.799	nan	1.753	nan	1.576	2.714	nan	1.380	nan	nan	nan	nan	3.625	nan	nan	nan	nan	nan	1.183	nan	nan	15.332	7.871	1.166	7.204	22.839	nan	11.518	10.896	nan	7.722	19.210	9.317	nan	7.875	1.459	1.155	14.393	nan	1.124	1.162	23.061	1.022	nan	nan	nan	1.161	5.054	nan	1.256	11.229	nan	nan	4.905	nan	nan	1.389	nan	nan	1.524	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.543	nan	nan	43.421	16.819	6.031	19.973	4.191	3.191	5.012	2.718	12.519	4.322	nan	nan	1.132	nan	11.347	2.683	nan	nan	nan	nan	nan	nan	nan	nan	1.057	nan	nan	nan	nan	2.485	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	35.598	1.303	5.705	4.699	7.342	nan	nan	1.265
2019	Agricultura, ganadería, silvicultura y pesca	"Mediana empresa ""B"""	19.112	nan	4.012	nan	nan	nan	nan	nan	3.595	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.959	2.563	nan	nan	nan	nan	2.300	2.462	nan	nan	54.864	21.331	nan	7.127	12.337	nan	nan	8.581	2.698	nan	nan	nan	nan	2.223	nan	nan	16.273	230.471	nan	nan	8.341	nan	73.972	5.319	nan	21.235	8.836	nan	12.403	nan	nan	4.262	2.206	nan	14.730	3.402	nan	3.685	405.149	nan	nan	2.657	2.546	11.081	37.543	6.928	19.259	36.597	41.290	nan	5.058	nan	123.354	7.224	nan	15.571	nan	2.116	6.704	nan	3.530	2.041	nan	2.297	nan	8.756	2.599	nan	2.398	3.582	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14.078	13.611	3.172	19.947	26.777	2.570	25.308	6.732	nan	25.769	18.444	12.882	nan	13.754	nan	6.030	2.073	4.020	nan	nan	48.113	13.244	nan	nan	nan	nan	13.697	3.120	4.457	4.266	nan	nan	4.617	15.685	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.301	nan	nan	121.479	38.612	27.142	64.550	4.250	nan	2.036	nan	15.118	nan	nan	2.128	8.463	nan	12.754	7.728	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.591	nan	nan	3.837	nan	nan	nan	nan	nan	nan	nan	62.135	12.282	20.429	2.564	24.411	nan	nan	nan
2019	Agricultura, ganadería, silvicultura y pesca	Microempresa	1.499	0	24	76	52	nan	0	5	6	0	nan	nan	151	nan	0	5	0	0	83	0	0	0	60	64	123	101	69	0	nan	460	75	328	17	564	331	1.232	608	47	80	134	0	32	487	0	0	0	0	50	4	0	1	0	4.446	453	0	186	0	832	273	162	984	176	0	323	6	33	599	4	400	1.757	306	74	112	11.396	126	19	277	4	123	319	128	309	664	980	191	18	0	1.244	47	109	398	136	199	0	64	147	23	4	785	313	154	351	68	220	381	0	6	0	0	nan	0	3	8	9	45	2	155	0	8	0	542	112	71	247	1.322	0	287	333	12	228	201	271	193	395	15	422	586	42	99	0	1.293	36	0	83	116	34	595	58	29	1.027	0	0	201	71	268	0	1	0	27	1	18	0	0	0	0	0	0	111	77	0	61	0	165	0	0	nan	9.681	645	724	440	662	115	407	611	1.133	105	0	0	119	0	305	185	13	68	0	0	0	77	7	2	0	nan	67	0	0	98	1	0	629	0	0	61	116	11	502	93	3.526	1.037	511	92	834	nan	nan	nan
2019	Agricultura, ganadería, silvicultura y pesca	Pequeña empresa	14.803	493	nan	nan	380	167	nan	416	1.084	nan	nan	nan	480	434	1.732	1.147	nan	nan	640	nan	nan	475	1.207	2.603	1.321	15.242	295	478	nan	8.010	604	4.784	2.732	6.232	3.212	29.077	25.944	2.284	1.551	9.346	808	317	12.077	1.042	412	357	398	257	2.616	935	773	931	209.449	10.689	nan	7.452	414	28.665	29.346	3.802	41.265	8.247	nan	32.189	1.515	nan	6.998	1.584	6.763	22.817	747	622	2.695	229.118	1.483	1.845	2.580	1.156	7.567	10.669	7.376	25.624	23.774	29.218	5.952	4.751	nan	45.694	4.702	745	4.249	841	10.098	3.622	nan	2.005	3.309	147	16.028	2.890	1.727	1.410	699	2.679	10.067	257	1.362	1.776	1.131	nan	152	327	398	343	nan	nan	1.891	2.865	274	nan	25.577	10.375	5.031	10.332	33.434	1.692	14.144	15.151	806	10.918	18.528	8.813	3.615	9.227	1.654	7.415	15.160	1.381	2.155	1.088	29.682	2.922	691	245	175	369	12.989	2.511	499	27.370	nan	358	4.116	1.717	3.050	695	nan	nan	4.325	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	708	1.279	nan	1.555	384	nan	nan	128.098	23.047	27.993	16.151	3.974	6.128	6.212	1.795	24.791	1.483	887	1.875	2.124	476	11.853	4.655	632	1.208	nan	nan	nan	193	nan	nan	nan	nan	nan	nan	842	3.967	nan	nan	1.717	nan	330	nan	1.294	nan	3.024	512	56.721	11.093	12.590	4.037	14.598	nan	nan	712
2019	Comercio	Grande empresa	2.426.307	nan	5.812	nan	6.091	nan	nan	6.672	nan	nan	nan	nan	nan	nan	20.661	nan	nan	nan	nan	nan	nan	nan	39.734	5.384	6.409	5.514	nan	nan	nan	54.808	nan	nan	nan	7.067	nan	66.224	14.087	nan	nan	nan	nan	nan	54.096	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.133.566	5.626	nan	nan	nan	71.659	101.608	nan	25.844	nan	nan	23.640	7.837	nan	42.173	nan	nan	14.387	nan	nan	nan	15.211.043	nan	12.948	16.657	7.107	111.390	665.656	17.908	35.950	206.209	40.964	7.091	nan	11.454	774.488	nan	nan	107.473	nan	12.544	nan	nan	nan	7.309	nan	263.082	6.543	nan	23.647	nan	nan	176.271	nan	6.209	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	56.012	5.323	nan	14.203	184.748	nan	98.308	35.473	nan	13.202	nan	25.053	26.272	152.782	7.544	12.422	35.885	nan	nan	nan	448.752	29.424	nan	nan	nan	nan	nan	22.126	nan	28.975	nan	nan	nan	nan	nan	6.610	nan	nan	nan	nan	9.793	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20.150	nan	nan	nan	15.856.413	30.377	38.380	25.400	2.804.721	nan	nan	nan	783.247	7.350	nan	nan	nan	nan	51.119	nan	nan	13.076	nan	nan	nan	5.071	nan	nan	nan	nan	nan	nan	10.118	54.939	nan	nan	nan	nan	nan	nan	14.711	nan	20.379	nan	724.125	7.146	nan	39.377	25.616	nan	nan	nan
2019	Comercio	"Mediana empresa ""A"""	287.882	1.031	10.775	1.634	5.719	nan	nan	6.468	nan	1.505	nan	nan	nan	nan	2.464	2.069	1.518	3.099	nan	1.120	3.044	nan	30.705	3.465	12.984	18.546	4.548	nan	nan	24.347	1.861	1.334	1.334	4.983	2.840	63.261	19.815	1.059	6.594	16.859	nan	nan	82.389	nan	nan	nan	1.061	3.566	1.280	3.441	nan	5.476	151.246	4.790	nan	5.158	nan	16.022	24.821	nan	16.441	18.564	1.257	23.622	6.266	1.559	43.496	4.090	1.314	18.979	6.729	5.508	1.234	1.039.072	1.403	2.694	7.719	1.786	33.400	37.656	24.089	7.498	34.895	16.076	7.706	8.185	1.506	58.046	9.025	3.031	10.167	3.844	1.412	nan	3.598	3.052	2.556	2.835	63.895	10.994	7.559	6.705	1.170	nan	75.453	4.566	12.495	nan	nan	nan	nan	4.332	1.350	1.296	1.408	2.758	2.922	1.402	nan	nan	37.316	2.541	4.854	nan	42.169	4.677	25.689	13.399	2.255	10.206	2.147	8.594	2.652	82.984	8.086	16.616	41.934	1.209	5.375	nan	99.714	6.346	3.716	4.489	5.893	5.304	7.155	3.388	nan	7.094	nan	4.256	nan	4.141	3.852	4.709	1.698	1.217	2.684	2.695	4.197	nan	nan	nan	nan	nan	nan	2.830	4.404	1.627	1.006	nan	14.188	1.586	1.230	nan	1.175.228	19.394	28.858	9.647	51.948	5.916	8.265	1.563	186.627	10.163	1.232	4.149	nan	5.594	14.333	12.111	2.681	7.139	nan	nan	nan	4.730	1.932	nan	nan	nan	nan	nan	16.201	25.895	nan	nan	4.068	nan	nan	nan	24.105	nan	4.607	1.787	128.888	11.825	26.644	29.067	11.971	nan	nan	nan
2019	Comercio	"Mediana empresa ""B"""	444.434	nan	8.976	nan	11.802	nan	nan	6.756	nan	nan	2.751	nan	nan	nan	23.295	7.145	nan	2.503	6.997	nan	5.861	nan	10.872	4.803	8.823	31.165	2.045	nan	nan	41.894	3.200	nan	nan	11.368	nan	117.396	22.247	nan	3.850	7.360	2.014	nan	106.567	nan	2.884	3.663	nan	nan	2.363	nan	nan	2.112	209.009	10.334	nan	7.420	nan	37.858	39.960	2.475	37.266	8.686	2.204	31.468	4.020	nan	44.729	nan	2.268	32.778	16.032	13.766	nan	1.840.904	3.045	7.596	24.507	nan	44.435	96.546	20.010	14.698	52.439	35.389	7.208	3.726	2.180	72.249	11.773	5.456	29.035	21.023	nan	2.322	2.101	3.968	nan	2.315	75.226	21.059	4.244	15.149	nan	nan	99.046	nan	13.611	nan	nan	nan	nan	16.405	nan	3.989	7.123	nan	nan	4.903	nan	nan	45.323	3.381	9.480	18.562	107.133	11.697	57.193	5.614	2.417	22.811	16.016	22.541	18.695	117.563	9.854	28.476	36.694	2.814	2.696	2.999	174.049	32.302	5.385	2.893	6.471	11.565	6.510	28.119	nan	25.942	nan	5.542	3.085	6.250	7.152	11.760	9.954	nan	nan	nan	7.876	nan	nan	nan	nan	nan	nan	20.028	nan	2.647	2.123	nan	20.568	nan	nan	nan	2.054.340	28.699	36.337	11.416	71.607	nan	7.924	nan	284.537	5.015	4.537	nan	nan	5.552	34.208	nan	2.192	5.526	nan	nan	nan	20.244	nan	nan	nan	nan	2.675	nan	6.358	55.857	nan	nan	15.829	nan	nan	nan	12.918	nan	18.486	nan	244.571	21.027	22.741	61.961	15.016	nan	2.154	nan
2019	Comercio	Microempresa	21.448	102	593	87	469	0	0	246	0	0	304	24	51	0	506	907	89	262	273	172	170	0	1.218	645	573	1.021	12	0	87	2.045	155	431	0	1.014	18	4.154	1.139	75	274	1.696	409	56	6.608	174	15	139	135	85	493	40	61	48	11.026	755	9	242	2	1.497	2.230	59	1.324	1.043	497	1.731	667	0	4.593	268	313	1.043	486	580	284	110.540	234	97	340	0	2.217	3.096	1.334	599	2.158	756	361	257	563	4.573	202	174	705	440	131	20	206	235	295	0	5.616	923	82	1.757	159	211	4.528	592	339	152	0	8	0	595	476	130	0	0	69	36	0	0	2.554	97	291	228	2.804	375	1.253	755	190	1.523	213	124	475	7.102	418	1.321	1.377	113	962	225	8.972	790	322	236	498	197	550	437	177	946	116	54	281	96	249	790	166	0	84	0	327	0	80	0	169	0	119	1.260	121	118	26	0	2.277	131	33	0	115.600	1.399	1.422	211	4.388	143	107	352	13.560	221	34	189	77	152	1.117	394	27	465	54	74	42	190	45	75	0	0	266	127	564	2.578	212	50	1.032	0	0	32	1.385	0	652	195	11.332	925	546	1.397	497	nan	nan	nan
2019	Comercio	Pequeña empresa	436.826	3.451	14.992	679	9.084	565	784	4.247	3.241	nan	1.313	745	190	370	11.435	23.050	2.814	2.782	2.795	7.019	3.620	1.574	30.510	8.168	11.530	23.334	1.873	835	1.261	55.003	3.883	4.165	218	9.766	2.859	99.864	18.408	3.479	7.528	27.922	10.607	1.639	153.826	2.232	1.298	2.547	3.294	4.531	5.494	3.349	1.018	1.512	224.664	7.513	1.280	6.195	nan	21.900	42.782	1.975	45.767	18.015	2.359	25.455	8.524	525	66.811	5.894	4.652	36.984	9.038	9.025	3.497	1.590.172	4.409	4.791	12.888	2.943	50.217	68.140	30.896	16.504	61.429	19.350	11.905	5.798	5.871	72.818	9.900	3.155	11.563	9.635	4.812	2.082	3.291	5.534	5.223	2.961	106.536	13.528	9.960	32.578	2.173	2.440	135.135	5.049	10.405	3.689	1.167	457	1.849	9.758	6.570	4.067	5.657	218	2.614	5.389	149	139	52.584	5.920	5.860	10.373	79.262	11.528	30.207	14.732	2.494	26.900	7.575	10.151	7.090	109.928	11.164	41.120	44.620	6.704	16.081	8.083	147.031	17.814	4.196	5.466	5.827	7.255	12.175	7.967	1.986	17.836	549	1.661	4.162	4.542	4.707	25.521	8.695	3.793	4.006	3.606	7.759	1.252	987	179	1.583	171	1.081	20.151	2.076	3.545	1.360	123	31.168	3.245	132	nan	1.885.356	29.752	38.257	23.197	76.850	5.254	4.680	6.233	317.729	7.258	7.345	1.412	7.501	3.863	33.051	8.119	6.328	10.770	3.694	nan	nan	15.565	3.354	397	128	515	5.685	2.140	16.060	57.878	707	nan	13.167	nan	642	871	29.589	773	13.640	4.724	269.468	15.572	23.801	45.645	23.923	nan	nan	nan
